route_id,service_id,trip_id,trip_headsign,direction_id,direction,block_id,shape_id,wheelchair_accessible,branch_letter,boarding_type
2,MAR23-MVS-BUS-Weekday-01,23357964-MAR23-MVS-BUS-Weekday-01,Willey Hall / U of M,1,WB,1008,77002014,1,E,0
2,MAR23-MVS-BUS-Weekday-04,23357964-MAR23-MVS-BUS-Weekday-04,Willey Hall / U of M,1,WB,1008,77002014,1,E,0
113,MAR23-MVS-BUS-Weekday-01,23357965-MAR23-MVS-BUS-Weekday-01,Ltd Stop / U of M,0,NB,1520,77113008,1,,0
113,MAR23-MVS-BUS-Weekday-04,23357965-MAR23-MVS-BUS-Weekday-04,Ltd Stop / U of M,0,NB,1520,77113008,1,,0
113,MAR23-MVS-BUS-Weekday-01,23357966-MAR23-MVS-BUS-Weekday-01,Ltd Stop / U of M,0,NB,1066,77113008,1,,0
113,MAR23-MVS-BUS-Weekday-04,23357966-MAR23-MVS-BUS-Weekday-04,Ltd Stop / U of M,0,NB,1066,77113008,1,,0
113,MAR23-MVS-BUS-Weekday-01,23357967-MAR23-MVS-BUS-Weekday-01,Ltd Stop / Grand / Lyndale-56th,1,SB,1118,77113004,1,B,2
113,MAR23-MVS-BUS-Weekday-04,23357967-MAR23-MVS-BUS-Weekday-04,Ltd Stop / Grand / Lyndale-56th,1,SB,1118,77113004,1,B,2
113,MAR23-MVS-BUS-Weekday-01,23357968-MAR23-MVS-BUS-Weekday-01,Ltd Stop / Grand / Lyndale-56th,1,SB,1521,77113004,1,B,2
113,MAR23-MVS-BUS-Weekday-04,23357968-MAR23-MVS-BUS-Weekday-04,Ltd Stop / Grand / Lyndale-56th,1,SB,1521,77113004,1,B,2
113,MAR23-MVS-BUS-Weekday-01,23357969-MAR23-MVS-BUS-Weekday-01,Ltd Stop / Grand / Lyndale-56th,1,SB,1122,77113004,1,B,2
113,MAR23-MVS-BUS-Weekday-04,23357969-MAR23-MVS-BUS-Weekday-04,Ltd Stop / Grand / Lyndale-56th,1,SB,1122,77113004,1,B,2
252,MAR23-MVS-BUS-Weekday-01,23357970-MAR23-MVS-BUS-Weekday-01,Express / 95Ave P&R,0,NB,1177,77252003,1,,2
252,MAR23-MVS-BUS-Weekday-04,23357970-MAR23-MVS-BUS-Weekday-04,Express / 95Ave P&R,0,NB,1177,77252003,1,,2
252,MAR23-MVS-BUS-Weekday-01,23357971-MAR23-MVS-BUS-Weekday-01,Express / U of M,1,SB,1533,77252004,1,,0
252,MAR23-MVS-BUS-Weekday-04,23357971-MAR23-MVS-BUS-Weekday-04,Express / U of M,1,SB,1533,77252004,1,,0
252,MAR23-MVS-BUS-Weekday-01,23357972-MAR23-MVS-BUS-Weekday-01,Express / U of M,1,SB,1533,77252004,1,,0
252,MAR23-MVS-BUS-Weekday-04,23357972-MAR23-MVS-BUS-Weekday-04,Express / U of M,1,SB,1533,77252004,1,,0
114,MAR23-MVS-BUS-Weekday-01,23357973-MAR23-MVS-BUS-Weekday-01,Ltd Stop / U of M,0,NB,1523,77114001,1,,0
114,MAR23-MVS-BUS-Weekday-04,23357973-MAR23-MVS-BUS-Weekday-04,Ltd Stop / U of M,0,NB,1523,77114001,1,,0
114,MAR23-MVS-BUS-Weekday-01,23357974-MAR23-MVS-BUS-Weekday-01,Ltd Stop / U of M,0,NB,1066,77114001,1,,0
114,MAR23-MVS-BUS-Weekday-04,23357974-MAR23-MVS-BUS-Weekday-04,Ltd Stop / U of M,0,NB,1066,77114001,1,,0
114,MAR23-MVS-BUS-Weekday-01,23357975-MAR23-MVS-BUS-Weekday-01,Ltd Stop / U of M,0,NB,1523,77114001,1,,0
114,MAR23-MVS-BUS-Weekday-04,23357975-MAR23-MVS-BUS-Weekday-04,Ltd Stop / U of M,0,NB,1523,77114001,1,,0
114,MAR23-MVS-BUS-Weekday-01,23357976-MAR23-MVS-BUS-Weekday-01,Ltd Stop / U of M,0,NB,1523,77114001,1,,0
114,MAR23-MVS-BUS-Weekday-04,23357976-MAR23-MVS-BUS-Weekday-04,Ltd Stop / U of M,0,NB,1523,77114001,1,,0
114,MAR23-MVS-BUS-Weekday-01,23357977-MAR23-MVS-BUS-Weekday-01,Ltd Stop / U of M,0,NB,1066,77114001,1,,0
114,MAR23-MVS-BUS-Weekday-04,23357977-MAR23-MVS-BUS-Weekday-04,Ltd Stop / U of M,0,NB,1066,77114001,1,,0
114,MAR23-MVS-BUS-Weekday-01,23357978-MAR23-MVS-BUS-Weekday-01,Ltd Stop / Hennepin-36 / Bryant-38St,1,SB,1524,77114008,1,A,2
114,MAR23-MVS-BUS-Weekday-04,23357978-MAR23-MVS-BUS-Weekday-04,Ltd Stop / Hennepin-36 / Bryant-38St,1,SB,1524,77114008,1,A,2
114,MAR23-MVS-BUS-Weekday-01,23357979-MAR23-MVS-BUS-Weekday-01,Ltd Stop / Hennepin-36 / Bryant-38St,1,SB,1524,77114008,1,A,2
114,MAR23-MVS-BUS-Weekday-04,23357979-MAR23-MVS-BUS-Weekday-04,Ltd Stop / Hennepin-36 / Bryant-38St,1,SB,1524,77114008,1,A,2
114,MAR23-MVS-BUS-Weekday-01,23357980-MAR23-MVS-BUS-Weekday-01,Ltd Stop / Hennepin-36 / Bryant-38St,1,SB,1122,77114008,1,A,2
114,MAR23-MVS-BUS-Weekday-04,23357980-MAR23-MVS-BUS-Weekday-04,Ltd Stop / Hennepin-36 / Bryant-38St,1,SB,1122,77114008,1,A,2
3,MAR23-MVS-BUS-Weekday-01,23357981-MAR23-MVS-BUS-Weekday-01,Como Av / Eustis PR,0,EB,1046,77003013,1,E,0
3,MAR23-MVS-BUS-Weekday-04,23357981-MAR23-MVS-BUS-Weekday-04,Como Av / Eustis PR,0,EB,1046,77003013,1,E,0
3,MAR23-MVS-BUS-Weekday-01,23357982-MAR23-MVS-BUS-Weekday-01,Como Av / Eustis PR,0,EB,1046,77003013,1,E,0
3,MAR23-MVS-BUS-Weekday-04,23357982-MAR23-MVS-BUS-Weekday-04,Como Av / Eustis PR,0,EB,1046,77003013,1,E,0
3,MAR23-MVS-BUS-Weekday-01,23357983-MAR23-MVS-BUS-Weekday-01,Como Av / Eustis PR,0,EB,1055,77003013,1,E,0
3,MAR23-MVS-BUS-Weekday-04,23357983-MAR23-MVS-BUS-Weekday-04,Como Av / Eustis PR,0,EB,1055,77003013,1,E,0
3,MAR23-MVS-BUS-Weekday-01,23357984-MAR23-MVS-BUS-Weekday-01,Como Av / Eustis PR,0,EB,1046,77003013,1,E,0
3,MAR23-MVS-BUS-Weekday-04,23357984-MAR23-MVS-BUS-Weekday-04,Como Av / Eustis PR,0,EB,1046,77003013,1,E,0
3,MAR23-MVS-BUS-Weekday-01,23357985-MAR23-MVS-BUS-Weekday-01,Como Av / Eustis PR,0,EB,1055,77003013,1,E,0
3,MAR23-MVS-BUS-Weekday-04,23357985-MAR23-MVS-BUS-Weekday-04,Como Av / Eustis PR,0,EB,1055,77003013,1,E,0
3,MAR23-MVS-BUS-Weekday-01,23357986-MAR23-MVS-BUS-Weekday-01,Como Av / Eustis PR,0,EB,1055,77003013,1,E,0
3,MAR23-MVS-BUS-Weekday-04,23357986-MAR23-MVS-BUS-Weekday-04,Como Av / Eustis PR,0,EB,1055,77003013,1,E,0
3,MAR23-MVS-BUS-Weekday-01,23357987-MAR23-MVS-BUS-Weekday-01,Como Av / Eustis PR,0,EB,1490,77003013,1,E,0
3,MAR23-MVS-BUS-Weekday-04,23357987-MAR23-MVS-BUS-Weekday-04,Como Av / Eustis PR,0,EB,1490,77003013,1,E,0
3,MAR23-MVS-BUS-Weekday-01,23357988-MAR23-MVS-BUS-Weekday-01,Como Av / Eustis PR,0,EB,1055,77003013,1,E,0
3,MAR23-MVS-BUS-Weekday-04,23357988-MAR23-MVS-BUS-Weekday-04,Como Av / Eustis PR,0,EB,1055,77003013,1,E,0
3,MAR23-MVS-BUS-Weekday-01,23357989-MAR23-MVS-BUS-Weekday-01,Como Av / Eustis PR,0,EB,1490,77003013,1,E,0
3,MAR23-MVS-BUS-Weekday-04,23357989-MAR23-MVS-BUS-Weekday-04,Como Av / Eustis PR,0,EB,1490,77003013,1,E,0
3,MAR23-MVS-BUS-Weekday-01,23357990-MAR23-MVS-BUS-Weekday-01,Como Av / U of M / Willey Hall,1,WB,1025,77003022,1,U,0
3,MAR23-MVS-BUS-Weekday-04,23357990-MAR23-MVS-BUS-Weekday-04,Como Av / U of M / Willey Hall,1,WB,1025,77003022,1,U,0
3,MAR23-MVS-BUS-Weekday-01,23357991-MAR23-MVS-BUS-Weekday-01,Como Av / U of M / Willey Hall,1,WB,1025,77003022,1,U,0
3,MAR23-MVS-BUS-Weekday-04,23357991-MAR23-MVS-BUS-Weekday-04,Como Av / U of M / Willey Hall,1,WB,1025,77003022,1,U,0
3,MAR23-MVS-BUS-Weekday-01,23357992-MAR23-MVS-BUS-Weekday-01,Como Av / U of M / Willey Hall,1,WB,1034,77003022,1,U,0
3,MAR23-MVS-BUS-Weekday-04,23357992-MAR23-MVS-BUS-Weekday-04,Como Av / U of M / Willey Hall,1,WB,1034,77003022,1,U,0
3,MAR23-MVS-BUS-Weekday-01,23357993-MAR23-MVS-BUS-Weekday-01,Como Av / U of M / Willey Hall,1,WB,1030,77003022,1,U,0
3,MAR23-MVS-BUS-Weekday-04,23357993-MAR23-MVS-BUS-Weekday-04,Como Av / U of M / Willey Hall,1,WB,1030,77003022,1,U,0
3,MAR23-MVS-BUS-Weekday-01,23357994-MAR23-MVS-BUS-Weekday-01,Como Av / U of M / Willey Hall,1,WB,1032,77003022,1,U,0
3,MAR23-MVS-BUS-Weekday-04,23357994-MAR23-MVS-BUS-Weekday-04,Como Av / U of M / Willey Hall,1,WB,1032,77003022,1,U,0
3,MAR23-MVS-BUS-Weekday-01,23357995-MAR23-MVS-BUS-Weekday-01,Como Av / U of M / Willey Hall,1,WB,1034,77003022,1,U,0
3,MAR23-MVS-BUS-Weekday-04,23357995-MAR23-MVS-BUS-Weekday-04,Como Av / U of M / Willey Hall,1,WB,1034,77003022,1,U,0
3,MAR23-MVS-BUS-Weekday-01,23357996-MAR23-MVS-BUS-Weekday-01,Como Av / U of M / Willey Hall,1,WB,1025,77003022,1,U,0
3,MAR23-MVS-BUS-Weekday-04,23357996-MAR23-MVS-BUS-Weekday-04,Como Av / U of M / Willey Hall,1,WB,1025,77003022,1,U,0
3,MAR23-MVS-BUS-Weekday-01,23357997-MAR23-MVS-BUS-Weekday-01,Como Av / U of M / Willey Hall,1,WB,1034,77003022,1,U,0
3,MAR23-MVS-BUS-Weekday-04,23357997-MAR23-MVS-BUS-Weekday-04,Como Av / U of M / Willey Hall,1,WB,1034,77003022,1,U,0
3,MAR23-MVS-BUS-Weekday-01,23357998-MAR23-MVS-BUS-Weekday-01,Como Av / U of M / Willey Hall,1,WB,1030,77003022,1,U,0
3,MAR23-MVS-BUS-Weekday-04,23357998-MAR23-MVS-BUS-Weekday-04,Como Av / U of M / Willey Hall,1,WB,1030,77003022,1,U,0
3,MAR23-MVS-BUS-Weekday-01,23357999-MAR23-MVS-BUS-Weekday-01,Como Av / U of M / Willey Hall,1,WB,1034,77003022,1,U,0
3,MAR23-MVS-BUS-Weekday-04,23357999-MAR23-MVS-BUS-Weekday-04,Como Av / U of M / Willey Hall,1,WB,1034,77003022,1,U,0
3,MAR23-MVS-BUS-Weekday-01,23358000-MAR23-MVS-BUS-Weekday-01,Como Av / U of M / Willey Hall,1,WB,1030,77003022,1,U,0
3,MAR23-MVS-BUS-Weekday-04,23358000-MAR23-MVS-BUS-Weekday-04,Como Av / U of M / Willey Hall,1,WB,1030,77003022,1,U,0
515,MAR23-MVS-BUS-Weekday-01,23358047-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Mall Amer,0,EB,1549,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358047-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Mall Amer,0,EB,1549,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358047-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Mall Amer,0,EB,1549,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358048-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Mall Amer,0,EB,1550,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358048-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Mall Amer,0,EB,1550,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358048-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Mall Amer,0,EB,1550,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358049-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Mall Amer,0,EB,1549,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358049-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Mall Amer,0,EB,1549,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358049-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Mall Amer,0,EB,1549,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358050-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Mall Amer,0,EB,1551,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358050-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Mall Amer,0,EB,1551,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358050-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Mall Amer,0,EB,1551,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358051-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Mall Amer,0,EB,1550,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358051-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Mall Amer,0,EB,1550,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358051-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Mall Amer,0,EB,1550,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358052-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Mall Amer,0,EB,1551,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358052-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Mall Amer,0,EB,1551,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358052-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Mall Amer,0,EB,1551,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358053-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Mall Amer,0,EB,1553,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358053-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Mall Amer,0,EB,1553,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358053-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Mall Amer,0,EB,1553,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358054-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Mall Amer,0,EB,1551,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358054-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Mall Amer,0,EB,1551,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358054-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Mall Amer,0,EB,1551,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358055-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Mall Amer,0,EB,1549,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358055-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Mall Amer,0,EB,1549,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358055-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Mall Amer,0,EB,1549,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358056-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Mall Amer,0,EB,1550,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358056-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Mall Amer,0,EB,1550,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358056-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Mall Amer,0,EB,1550,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358057-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Mall Amer,0,EB,1551,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358057-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Mall Amer,0,EB,1551,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358057-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Mall Amer,0,EB,1551,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358058-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Mall Amer,0,EB,1552,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358058-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Mall Amer,0,EB,1552,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358058-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Mall Amer,0,EB,1552,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358059-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Mall Amer,0,EB,1550,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358059-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Mall Amer,0,EB,1550,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358059-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Mall Amer,0,EB,1550,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358060-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Mall Amer,0,EB,1383,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358060-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Mall Amer,0,EB,1383,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358060-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Mall Amer,0,EB,1383,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358061-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Mall Amer,0,EB,1555,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358061-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Mall Amer,0,EB,1555,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358061-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Mall Amer,0,EB,1555,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358062-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Mall Amer,0,EB,1557,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358062-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Mall Amer,0,EB,1557,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358062-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Mall Amer,0,EB,1557,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358063-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Mall Amer,0,EB,1558,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358063-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Mall Amer,0,EB,1558,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358063-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Mall Amer,0,EB,1558,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358064-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Mall Amer,0,EB,1555,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358064-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Mall Amer,0,EB,1555,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358064-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Mall Amer,0,EB,1555,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358065-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Mall Amer,0,EB,1558,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358065-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Mall Amer,0,EB,1558,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358065-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Mall Amer,0,EB,1558,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358066-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Mall Amer,0,EB,1554,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358066-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Mall Amer,0,EB,1554,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358066-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Mall Amer,0,EB,1554,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358067-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Mall Amer,0,EB,1554,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358067-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Mall Amer,0,EB,1554,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358067-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Mall Amer,0,EB,1554,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358068-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Mall Amer,0,EB,1559,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358068-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Mall Amer,0,EB,1559,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358068-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Mall Amer,0,EB,1559,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358069-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Mall Amer,0,EB,1559,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358069-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Mall Amer,0,EB,1559,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358069-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Mall Amer,0,EB,1559,77515011,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358070-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Southdale,1,WB,1550,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358070-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Southdale,1,WB,1550,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358070-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Southdale,1,WB,1550,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358071-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Southdale,1,WB,1549,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358071-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Southdale,1,WB,1549,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358071-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Southdale,1,WB,1549,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358072-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Southdale,1,WB,1550,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358072-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Southdale,1,WB,1550,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358072-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Southdale,1,WB,1550,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358073-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Southdale,1,WB,1552,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358073-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Southdale,1,WB,1552,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358073-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Southdale,1,WB,1552,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358074-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Southdale,1,WB,1551,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358074-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Southdale,1,WB,1551,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358074-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Southdale,1,WB,1551,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358075-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Southdale,1,WB,1551,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358075-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Southdale,1,WB,1551,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358075-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Southdale,1,WB,1551,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358076-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Southdale,1,WB,1549,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358076-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Southdale,1,WB,1549,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358076-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Southdale,1,WB,1549,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358077-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Southdale,1,WB,1549,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358077-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Southdale,1,WB,1549,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358077-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Southdale,1,WB,1549,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358078-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Southdale,1,WB,1551,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358078-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Southdale,1,WB,1551,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358078-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Southdale,1,WB,1551,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358079-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Southdale,1,WB,1550,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358079-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Southdale,1,WB,1550,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-05,23358079-MAR23-MVS-BUS-Weekday-05,66St / Bloom Ave / Southdale,1,WB,1550,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-01,23358080-MAR23-MVS-BUS-Weekday-01,66St / Bloom Ave / Southdale,1,WB,1550,77515005,1,,0
515,MAR23-MVS-BUS-Weekday-04,23358080-MAR23-MVS-BUS-Weekday-04,66St / Bloom Ave / Southdale,1,WB,1550,77515005,1,,0
